abbreviation,Franchise,teamname
ATL,Atlanta Hawks,Hawks
BKN,Brooklyn Nets,Nets
BOS,Boston Celtics,Celtics
CHA,Charlotte Hornets,Hornets
CHI,Chicago Bulls,Bulls
CLE,Cleveland Cavaliers,Cavaliers
DAL,Dallas Mavericks,Mavericks
DEN,Denver Nuggets,Nuggets
DET,Detroit Pistons,Pistons
GSW,Golden State Warriors,Warriors
HOU,Houston Rockets,Rockets
IND,Indiana Pacers,Pacers
LAC,Los Angeles Clippers,Clippers
LAL,Los Angeles Lakers,Lakers
MEM,Memphis Grizzlies,Grizzlies
MIA,Miami Heat,Heat
MIL,Milwaukee Bucks,Bucks
MIN,Minnesota Timberwolves,Timberwolves
NOP,New Orleans Pelicans,Pelicans
NYK,New York Knicks,Knicks
OKC,Oklahoma City Thunder,Thunder
ORL,Orlando Magic,Magic
PHI,Philadelphia 76ers,76ers
PHX,Phoenix Suns,Suns
POR,Portland Trail Blazers,Blazers
SAC,Sacramento Kings,Kings
SAS,San Antonio Spurs,Spurs
TOR,Toronto Raptors,Raptors
UTA,Utah Jazz,Jazz
WAS,Washington Wizards,Wizards
